tweet_id,intent,second,sub_stratum,customer_text
2911752,software_feature_defect,ios_version_downgrade,,@BRAND why won’t my iOS update it has enough storage https://t.co/FlcNPhyh3P
621804,software_feature_defect,general_complaint_nonactionable,,"can switch off automatic brightness? can't stand the screen changing as I look at it, makes me dizzy @BRAND 😰 😵 https://t.co/xQoPX1mhno"
1813719,software_feature_defect,ios_version_downgrade,,@BRAND my alarm won’t sound if my ringer is off ever since the iOS 11... so now I have to sleep with my ringer on? 🤷🏽‍♂️
875145,software_feature_defect,general_complaint_nonactionable,,When is @BRAND going to fix their #voicemail app? It hasn't been fully functional for YEARS. @BRAND
2128185,software_feature_defect,general_complaint_nonactionable,,"How the F*#@ cant @BRAND not fix this ""I"" A issue. So annoying! #Apple"
1698419,software_feature_defect,general_complaint_nonactionable,,@BRAND why isn’t my phone connecting to WiFi?? 😫
2545684,general_complaint_nonactionable,ios_version_downgrade,,Hey @BRAND @BRAND I’ve been long time fan of your products but seriously you need to fix IOS11 it’s clunky #iOS11 #appscrash #clunky #slow #keyboarddelays #fixIOS11 #drainsbattery please fix it fast!!!
656278,general_complaint_nonactionable,ios_version_downgrade,,@BRAND wassup man I️ tried to update my MacBook an my shit crashed 🤦🏽‍♂️
228548,general_complaint_nonactionable,software_feature_defect,,@BRAND @BRAND my iPhone is very slow can we please have another update to fix this? Even hard resetting didn’t help. TIA
2029457,general_complaint_nonactionable,software_feature_defect,,@BRAND my phone is running slow for some reason
1905436,general_complaint_nonactionable,ios_version_downgrade,,@BRAND when is the next iOS update. This iOS 11 has been so glitchy. Makes me want to toss my phone. iOS 10 was nice and stable.
1787993,general_complaint_nonactionable,software_feature_defect,,"Alright @BRAND my phone has crashed five times this week, Ive restarted it &amp; let it die But this shits starting to piss me off Boutta switch"
96973,general_complaint_nonactionable,software_feature_defect,,I didn't buy an $800 phone for it to stop working the first year. @BRAND
1915990,general_complaint_nonactionable,software_feature_defect,,@BRAND yes good evening my phone is 6 months old AND THIS UPDATE DONE FUCKED MY PHONE FIX IT PLS
2299848,general_complaint_nonactionable,software_feature_defect,,My iPhone is so slow since @BRAND updated the software #MoggyWheel
2729052,general_complaint_nonactionable,software_feature_defect,,GG @BRAND on your latest iPhone software....wtf everything is super slow on my 7+
2793215,general_complaint_nonactionable,software_feature_defect,,When are @BRAND going to sort a decent update that doesn’t constantly make my phone freeze 😡😡
619495,general_complaint_nonactionable,software_feature_defect,,My mac has just decided to break and all the things for summit is on there and I am FREAKING OUT RN @BRAND why has the new software update messed up my laptop?
794470,general_complaint_nonactionable,ios_version_downgrade,,@BRAND ios11 broke my phone thx
2899056,general_complaint_nonactionable,software_feature_defect,,"@BRAND there are so many bugs with this latest iOS, they’re interfering with my ability to do my job. I shouldn’t have to keep powering down my cell to correct your mistakes. Get👏🏾 your👏🏾 shit👏🏾 to👏🏾ge👏🏾ther!!👏🏾"
1790380,general_complaint_nonactionable,software_feature_defect,,Amazing. The moment @BRAND announces the new iPhones and the new software drops...my Iphone 6 goes to complete garbage. One reset a day
256736,general_complaint_nonactionable,software_feature_defect,,@BRAND why the fuck my phone start freezing every time the new one come out
2500949,general_complaint_nonactionable,software_feature_defect,,I bet you @BRAND isnt going to fix that update that ruined my cpu.
1846682,general_complaint_nonactionable,ios_version_downgrade,,@BRAND is the update okay for the 6s now? My phone keeps telling me to update to 11.0.3 but to scared Incase my phone messes up again
1989052,general_complaint_nonactionable,software_feature_defect,blind_spot,Hi @BRAND. Bought an #iphone8 from @USER less than 3 weeks ago and screen has already cracked without any unusual use :-(
1354057,general_complaint_nonactionable,out_of_scope,blind_spot,Please @BRAND fix my faulty new computer. I can’t get an appointment even a week in advance!
867485,general_complaint_nonactionable,out_of_scope,blind_spot,@BRAND can you just turn up to Apple Stores to get your broken screen fixed?
1353647,general_complaint_nonactionable,out_of_scope,blind_spot,@BRAND what is the expected time for getting notified an order is ready to pick up in store? Just an Apple Watch...
646788,general_complaint_nonactionable,software_feature_defect,blind_spot,Hey @BRAND i just dropped my iPhone 7 Plus it fell less than 6 inches and it shattered WITH A CASE ON after i just got it fixed a couple of weeks ago I can’t afford a new screen got any help?
2050583,general_complaint_nonactionable,software_feature_defect,blind_spot,@BRAND so are you guys going to replace my phone since your new software makes it glitch like crazy and never work properly?
656660,general_complaint_nonactionable,out_of_scope,blind_spot,Anyone know if @BRAND @BRAND exchanges the long wires that you buy in the store?
